group,category,band_label,band_from,band_to,coeff
B2,1,0-1,0,1,5.26
B2,1,1-2,1,2,5.32
B2,1,2-3,2,3,5.39
B2,1,3-5,3,5,5.46
B2,1,5-7,5,7,5.53
B2,1,7-10,7,10,5.60
B2,1,10-13,10,13,5.67
B2,1,13-16,13,16,5.75
B2,1,16-20,16,20,5.83
B2,1,20-25,20,25,5.91
B2,1,>25,25,999,5.99
B2,2,0-1,0,1,4.78
B2,2,1-2,1,2,4.85
B2,2,2-3,2,3,4.92
B2,2,3-5,3,5,4.99
B2,2,5-7,5,7,5.06
B2,2,7-10,7,10,5.14
B2,2,10-13,10,13,5.21
B2,2,13-16,13,16,5.29
B2,2,16-20,16,20,5.38
B2,2,20-25,20,25,5.46
B2,2,>25,25,999,5.54
B2,3,0-1,0,1,4.66
B2,3,1-2,1,2,4.74
B2,3,2-3,2,3,4.81
B2,3,3-5,3,5,4.89
B2,3,5-7,5,7,4.96
B2,3,7-10,7,10,5.04
B2,3,10-13,10,13,5.11
B2,3,13-16,13,16,5.20
B2,3,16-20,16,20,5.29
B2,3,20-25,20,25,5.38
B2,3,>25,25,999,5.46
B2,4,0-1,0,1,4.13
B2,4,1-2,1,2,4.17
B2,4,2-3,2,3,4.21
B2,4,3-5,3,5,4.26
B2,4,5-7,5,7,4.30
B2,4,7-10,7,10,4.35
B2,4,10-13,10,13,4.40
B2,4,13-16,13,16,4.51
B2,4,16-20,16,20,4.61
B2,4,20-25,20,25,4.70
B2,4,>25,25,999,4.77
B3,1,0-1,0,1,4.90
B3,1,1-2,1,2,4.96
B3,1,2-3,2,3,5.01
B3,1,3-5,3,5,5.07
B3,1,5-7,5,7,5.14
B3,1,7-10,7,10,5.21
B3,1,10-13,10,13,5.28
B3,1,13-16,13,16,5.35
B3,1,16-20,16,20,5.42
B3,1,20-25,20,25,5.49
B3,1,>25,25,999,5.55
B3,2,0-1,0,1,4.22
B3,2,1-2,1,2,4.28
B3,2,2-3,2,3,4.34
B3,2,3-5,3,5,4.39
B3,2,5-7,5,7,4.46
B3,2,7-10,7,10,4.53
B3,2,10-13,10,13,4.60
B3,2,13-16,13,16,4.67
B3,2,16-20,16,20,4.74
B3,2,20-25,20,25,4.81
B3,2,>25,25,999,4.88
B3,3,0-1,0,1,4.10
B3,3,1-2,1,2,4.16
B3,3,2-3,2,3,4.22
B3,3,3-5,3,5,4.28
B3,3,5-7,5,7,4.36
B3,3,7-10,7,10,4.43
B3,3,10-13,10,13,4.50
B3,3,13-16,13,16,4.57
B3,3,16-20,16,20,4.64
B3,3,20-25,20,25,4.72
B3,3,>25,25,999,4.79
B3,4,0-1,0,1,3.52
B3,4,1-2,1,2,3.58
B3,4,2-3,2,3,3.64
B3,4,3-5,3,5,3.71
B3,4,5-7,5,7,3.78
B3,4,7-10,7,10,3.85
B3,4,10-13,10,13,3.94
B3,4,13-16,13,16,4.00
B3,4,16-20,16,20,4.06
B3,4,20-25,20,25,4.12
B3,4,>25,25,999,4.19
B4,1,0-1,0,1,3.96
B4,1,1-2,1,2,4.01
B4,1,2-3,2,3,4.06
B4,1,3-5,3,5,4.10
B4,1,5-7,5,7,4.16
B4,1,7-10,7,10,4.22
B4,1,10-13,10,13,4.28
B4,1,13-16,13,16,4.34
B4,1,16-20,16,20,4.40
B4,1,20-25,20,25,4.46
B4,1,>25,25,999,4.53
B4,2,0-1,0,1,3.75
B4,2,1-2,1,2,3.81
B4,2,2-3,2,3,3.88
B4,2,3-5,3,5,3.94
B4,2,5-7,5,7,3.99
B4,2,7-10,7,10,4.06
B4,2,10-13,10,13,4.12
B4,2,13-16,13,16,4.19
B4,2,16-20,16,20,4.26
B4,2,20-25,20,25,4.34
B4,2,>25,25,999,4.41
B4,3,0-1,0,1,3.69
B4,3,1-2,1,2,3.76
B4,3,2-3,2,3,3.80
B4,3,3-5,3,5,3.86
B4,3,5-7,5,7,3.92
B4,3,7-10,7,10,3.98
B4,3,10-13,10,13,4.04
B4,3,13-16,13,16,4.10
B4,3,16-20,16,20,4.16
B4,3,20-25,20,25,4.22
B4,3,>25,25,999,4.29
B4,4,0-1,0,1,3.32
B4,4,1-2,1,2,3.36
B4,4,2-3,2,3,3.41
B4,4,3-5,3,5,3.45
B4,4,5-7,5,7,3.49
B4,4,7-10,7,10,3.53
B4,4,10-13,10,13,3.57
B4,4,13-16,13,16,3.61
B4,4,16-20,16,20,3.65
B4,4,20-25,20,25,3.69
B4,4,>25,25,999,3.73
